color,name_orig,name_en,quantity,cost,special,note_orig,note_en,vanila_game
Red,Strážní Věž,Guard Tower,3,1,FALSE,None,None,TRUE
Red,Žaláž,Prison,3,2,FALSE,None,None,TRUE
Red,Cvičiště,Training Grounds,3,3,FALSE,None,None,TRUE
Red,Pevnost,Fort,2,5,FALSE,None,None,TRUE
Blue,Chrám,Temple,3,1,FALSE,None,None,TRUE
Blue,Kostel,Church,3,2,FALSE,None,None,TRUE
Blue,Opatsví,Abbey,3,3,FALSE,None,None,TRUE
Blue,Katedrála,Cathedral,2,5,FALSE,None,None,TRUE
Yellow,Lovecký Zámek,Mansion,5,3,FALSE,None,None,TRUE
Yellow,Hrad,Castle,4,4,FALSE,None,None,TRUE
Yellow,Palác,Palace,3,5,FALSE,None,None,TRUE
Green,Hospoda,Inn,5,1,FALSE,None,None,TRUE
Green,Tržiště,Market,4,2,FALSE,None,None,TRUE
Green,Cechovní Dům,Guild House,3,2,FALSE,None,None,TRUE
Green,Obchodní Kancelář,Trade Office,3,3,FALSE,None,None,TRUE
Green,Přístav,Sea Port,3,4,FALSE,None,None,TRUE
Green,Radnice,Town Hall,2,5,FALSE,None,None,TRUE
Purple,Město Durchů,Ghost Town,1,2,TRUE,Při sčítání bodů se město duchů považuje za stavbu jakékoli barvy.,"For purposes of victory points, the Haunted City is considered to be of the color of your choice. You cannot use this ability if you built it during the last round of the game.",TRUE
Purple,Obranná Věž (Citadela),Keep,2,3,TRUE,Na obranou věž nesmí používat své schopnosti postavy červené barvy (8. třída).,The Keep cannot be attacked by the tier 8 character.,TRUE
Purple,Hřbitov,Graveyard,1,5,TRUE,"Za stavbu, kterou zboří žoldnéř můžete zaplatit 1 zlaťák a vzít ji do ruky. Toto pravidlo neplatí, pokud jste sám žoldnéř.","When the Warlord destroys a district, you may pay one (1)gold to take the destroyed district into your hand. You may not do this if you are the Warlord.",TRUE
Purple,Hvězdárna,Observatory,1,5,TRUE,"Pokud si na začátku tahu berete kartu, vybíráte si ji ze 3 karet. Obě zbylé odhoďte na vyhazovací balíček.","If you choose to draw cards when you take an action, you draw three (3) cards, keep one (1) of your choice, and put the other two (2)on the bottom of the deck.",TRUE
Purple,Kovárna,Smithy,1,5,TRUE,Kdykoliv během svého tahu si můžete vzít 2 karty staveb a zaplatíte za ně 3 zlaťáky.,"Once during your turn, you may pay two (2) gold to draw three (3) district cards.",TRUE
Purple,Laboratoř,Laboratory,1,5,TRUE,Z karet v ruce můžete odhodit 1 stavbu na vyhazovací balíček a vzít si místo ní 1 zlaťák.,Once during your turn you may discard a district card from your hand and receive one (1) gold from the bank.,TRUE
